Total Result
Matching Rate: 0.7884078212290503
Miss(No detection box) Rate: 0.1645274212368728
Mean IoU:0.8508725727648428
1: 0.9038461538461539
2: 0.8076923076923077
3: 1.0
4: 0.813953488372093
5: 0.5945945945945946
6: 0.8043478260869565
7: 0.8636363636363636
8: 0.7931034482758621
9: 0.6571428571428571
10: 0.7560975609756098
11: 0.9354838709677419
12: 0.84375
13: 0.6764705882352942
14: 0.85
15: 0.7575757575757576
16: 0.9767441860465116
17: 0.7692307692307693
18: 0.9444444444444444
19: 0.9512195121951219
20: 1.0
21: 0.8
22: 0.8717948717948718
23: 0.8431372549019608
24: 0.7906976744186046
25: 0.8780487804878049
26: 0.8055555555555556
27: 0.7428571428571429
28: 0.8125
29: 0.868421052631579
30: 0.72
31: 0.7916666666666666
32: 0.6744186046511628
33: 0.9545454545454546
34: 0.8529411764705882
35: 0.9090909090909091
36: 0.8
37: 0.8260869565217391
38: 0.8055555555555556
39: 0.8936170212765957
40: 1.0
