     EPOCH     gpu_mem     box       obj       cls     total   targets  img_size         P         R     mAP@.5  mAP@.5-.95 val_loss(box, obj, cls)
                                                                                 precision    recall    mAP_0.5  mAP_0.5:0/95  box    object    class
                                                                                    ìKçáó¶    çƒåªó¶   ï°êîclassïΩãœìKçáó¶    loss     loss     loss
-----------------------------------------------------------------------------------------------------------------------------------------------------
   147/299     7.38G   0.01865   0.01212   0.01719   0.04796         9      1280    0.5948    0.7469    0.7238    0.4579   0.01356      0.01   0.01112
   148/299     7.38G   0.01914   0.01235   0.01812   0.04961        16      1280    0.6059    0.7348    0.7303    0.4626   0.01357  0.009335   0.01056
   149/299     7.38G   0.01871   0.01206   0.01726   0.04803         5      1280    0.5638    0.7663    0.7372    0.4695   0.01348  0.009702   0.01035
   150/299     7.38G   0.01891   0.01214   0.01726   0.04831         4      1280    0.6237    0.7345    0.7186    0.4664   0.01329  0.009632   0.01108
   151/299     7.38G   0.01833   0.01198   0.01724   0.04755        12      1280    0.6016    0.7579    0.7398    0.4641   0.01345  0.009503   0.01048
   152/299     7.38G   0.01883   0.01214   0.01676   0.04773         2      1280    0.6001     0.769    0.7421     0.459   0.01364  0.009329   0.01024
   153/299     7.38G   0.01814   0.01186   0.01664   0.04664         5      1280    0.6104    0.7399    0.7269    0.4552   0.01403  0.009522   0.01052
   154/299     7.38G   0.01776   0.01174   0.01624   0.04575         1      1280      0.62    0.7521    0.7454    0.4722   0.01348  0.009101    0.0106
   155/299     7.38G   0.01792   0.01176   0.01627   0.04595        14      1280     0.603    0.7751    0.7531    0.4808    0.0132  0.009101   0.01006
   156/299     7.38G   0.01826    0.0118   0.01648   0.04654        12      1280    0.5969    0.7458    0.7359    0.4719   0.01326  0.009174   0.01029
   157/299     7.38G   0.01812   0.01196   0.01606   0.04615         3      1280    0.6096    0.7554    0.7407    0.4745   0.01335  0.009232   0.01008
   158/299     7.38G   0.01785   0.01167   0.01597   0.04549         5      1280    0.5948    0.7594    0.7358    0.4712   0.01316  0.009615   0.01013
   159/299     7.38G   0.01803    0.0119   0.01616   0.04609         7      1280    0.6042    0.7564    0.7371    0.4725   0.01301   0.00958   0.01031
   160/299     7.38G   0.01784   0.01161   0.01608   0.04553        10      1280    0.6077    0.7528    0.7377    0.4693   0.01315  0.009629   0.01015
   161/299     7.38G   0.01821   0.01143   0.01563   0.04527        18      1280     0.614    0.7654    0.7367     0.466   0.01348  0.009408   0.01099
   162/299     7.38G   0.01809   0.01172   0.01579    0.0456         5      1280    0.6155    0.7381    0.7224    0.4586   0.01347  0.009213   0.01088
   163/299     7.38G   0.01763   0.01151   0.01604   0.04518         7      1280    0.5916     0.761    0.7497    0.4824   0.01324   0.00946  0.009962
   164/299     7.38G    0.0177   0.01145   0.01497   0.04412         8      1280    0.6024    0.7604     0.747    0.4723   0.01335  0.009134  0.009981
   165/299     7.38G   0.01793   0.01176   0.01551   0.04519         4      1280     0.586    0.7626    0.7426    0.4769   0.01338  0.009136   0.01029
   166/299     7.38G   0.01749   0.01189   0.01562     0.045         3      1280    0.6133    0.7534    0.7372    0.4688   0.01341   0.00941   0.01003
   167/299     7.38G   0.01729   0.01129   0.01547   0.04405         3      1280    0.6012    0.7596    0.7471    0.4775   0.01324   0.00951  0.009885
   168/299     7.38G   0.01717   0.01149   0.01543   0.04409         5      1280    0.5946    0.7547    0.7324    0.4659   0.01356  0.009531   0.01042
   169/299     7.38G   0.01775   0.01155    0.0157   0.04501         1      1280    0.6345    0.7508    0.7404    0.4821   0.01302  0.008946   0.01042
   170/299     7.38G   0.01828   0.01175   0.01549   0.04552         5      1280    0.6227    0.7468    0.7459    0.4769   0.01338  0.009138   0.01031
   171/299     7.38G   0.01761   0.01161   0.01513   0.04435        10      1280    0.6124    0.7474    0.7362    0.4739   0.01334  0.009378   0.01075
   172/299     7.38G   0.01727   0.01146   0.01438   0.04311         2      1280    0.6208    0.7528     0.736    0.4711   0.01324  0.009213   0.01073
